VL_LECZinSum,County,State,CountyStat,FIPS_5digi
154.0,California,6,Alameda County,6001
1.0,California,6,Colusa County,6011
116.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
6.0,California,6,Humboldt County,6023
25.0,California,6,Los Angeles County,6037
54.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
5.0,California,6,Monterey County,6053
28.0,California,6,Napa County,6055
,California,6,Orange County,6059
20.0,California,6,Sacramento County,6067
12.0,California,6,San Diego County,6073
45.0,California,6,San Francisco County,6075
119.0,California,6,San Joaquin County,6077
8.0,California,6,San Luis Obispo County,6079
73.0,California,6,San Mateo County,6081
13.0,California,6,Santa Barbara County,6083
71.0,California,6,Santa Clara County,6085
30.0,California,6,Santa Cruz County,6087
42.0,California,6,Solano County,6095
19.0,California,6,Sonoma County,6097
,California,6,Stanislaus County,6099
1.0,California,6,Sutter County,6101
,California,6,Ventura County,6111
29.0,California,6,Yolo County,6113
1.0,Oregon,41,Clackamas County,41005
95.0,Oregon,41,Clatsop County,41007
12.0,Oregon,41,Columbia County,41009
65.0,Oregon,41,Coos County,41011
46.0,Oregon,41,Curry County,41015
10.0,Oregon,41,Douglas County,41019
6.0,Oregon,41,Lane County,41039
166.0,Oregon,41,Lincoln County,41041
461.0,Oregon,41,Multnomah County,41051
646.0,Oregon,41,Tillamook County,41057
137.0,Washington,53,Clallam County,53009
75.0,Washington,53,Clark County,53011
61.0,Washington,53,Cowlitz County,53015
184.0,Washington,53,Grays Harbor County,53027
150.0,Washington,53,Island County,53029
6.0,Washington,53,Jefferson County,53031
41.0,Washington,53,King County,53033
28.0,Washington,53,Kitsap County,53035
38.0,Washington,53,Mason County,53045
72.0,Washington,53,Pacific County,53049
129.0,Washington,53,Pierce County,53053
33.0,Washington,53,San Juan County,53055
184.0,Washington,53,Skagit County,53057
,Washington,53,Skamania County,53059
173.0,Washington,53,Snohomish County,53061
35.0,Washington,53,Thurston County,53067
45.0,Washington,53,Wahkiakum County,53069
48.0,Washington,53,Whatcom County,53073
229.0,Alabama,1,Baldwin County,1003
1.0,Alabama,1,Clarke County,1025
364.0,Alabama,1,Mobile County,1097
2.0,Alabama,1,Monroe County,1099
,Alabama,1,Washington County,1129
196.0,Florida,12,Bay County,12005
104.0,Florida,12,Brevard County,12009
468.0,Florida,12,Broward County,12011
,Florida,12,Calhoun County,12013
117.0,Florida,12,Charlotte County,12015
111.0,Florida,12,Citrus County,12017
91.0,Florida,12,Clay County,12019
1011.0,Florida,12,Collier County,12021
10.0,Florida,12,DeSoto County,12027
64.0,Florida,12,Dixie County,12029
282.0,Florida,12,Duval County,12031
47.0,Florida,12,Escambia County,12033
33.0,Florida,12,Flagler County,12035
38.0,Florida,12,Franklin County,12037
24.0,Florida,12,Gilchrist County,12041
,Florida,12,Glades County,12043
16.0,Florida,12,Gulf County,12045
844.0,Florida,12,Hendry County,12051
371.0,Florida,12,Hernando County,12053
,Florida,12,Highlands County,12055
378.0,Florida,12,Hillsborough County,12057
,Florida,12,Holmes County,12059
180.0,Florida,12,Indian River County,12061
,Florida,12,Jefferson County,12065
,Florida,12,Lafayette County,12067
1.0,Florida,12,Lake County,12069
7.0,Florida,12,Lee County,12071
