VL_LECZinSum,County,State,CountyStat,FIPS_5digi
561.0,California,6,Alameda County,6001
38.0,California,6,Colusa County,6011
407.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
19.0,California,6,Humboldt County,6023
516.0,California,6,Los Angeles County,6037
265.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
60.0,California,6,Monterey County,6053
757.0,California,6,Napa County,6055
,California,6,Orange County,6059
14.0,California,6,Sacramento County,6067
245.0,California,6,San Diego County,6073
183.0,California,6,San Francisco County,6075
91.0,California,6,San Joaquin County,6077
498.0,California,6,San Luis Obispo County,6079
312.0,California,6,San Mateo County,6081
151.0,California,6,Santa Barbara County,6083
813.0,California,6,Santa Clara County,6085
1545.0,California,6,Santa Cruz County,6087
68.0,California,6,Solano County,6095
704.0,California,6,Sonoma County,6097
263.0,California,6,Stanislaus County,6099
11.0,California,6,Sutter County,6101
9.0,California,6,Ventura County,6111
29.0,California,6,Yolo County,6113
887.0,Oregon,41,Clackamas County,41005
65.0,Oregon,41,Clatsop County,41007
715.0,Oregon,41,Columbia County,41009
349.0,Oregon,41,Coos County,41011
236.0,Oregon,41,Curry County,41015
566.0,Oregon,41,Douglas County,41019
285.0,Oregon,41,Lane County,41039
199.0,Oregon,41,Lincoln County,41041
2928.0,Oregon,41,Multnomah County,41051
586.0,Oregon,41,Tillamook County,41057
1961.0,Washington,53,Clallam County,53009
1947.0,Washington,53,Clark County,53011
151.0,Washington,53,Cowlitz County,53015
514.0,Washington,53,Grays Harbor County,53027
758.0,Washington,53,Island County,53029
220.0,Washington,53,Jefferson County,53031
1199.0,Washington,53,King County,53033
680.0,Washington,53,Kitsap County,53035
434.0,Washington,53,Mason County,53045
57.0,Washington,53,Pacific County,53049
1584.0,Washington,53,Pierce County,53053
262.0,Washington,53,San Juan County,53055
801.0,Washington,53,Skagit County,53057
33.0,Washington,53,Skamania County,53059
690.0,Washington,53,Snohomish County,53061
1182.0,Washington,53,Thurston County,53067
1.0,Washington,53,Wahkiakum County,53069
555.0,Washington,53,Whatcom County,53073
530.0,Alabama,1,Baldwin County,1003
463.0,Alabama,1,Clarke County,1025
1183.0,Alabama,1,Mobile County,1097
340.0,Alabama,1,Monroe County,1099
71.0,Alabama,1,Washington County,1129
104.0,Florida,12,Bay County,12005
43.0,Florida,12,Brevard County,12009
11.0,Florida,12,Broward County,12011
44.0,Florida,12,Calhoun County,12013
,Florida,12,Charlotte County,12015
132.0,Florida,12,Citrus County,12017
139.0,Florida,12,Clay County,12019
52.0,Florida,12,Collier County,12021
49.0,Florida,12,DeSoto County,12027
20.0,Florida,12,Dixie County,12029
182.0,Florida,12,Duval County,12031
255.0,Florida,12,Escambia County,12033
2.0,Florida,12,Flagler County,12035
2.0,Florida,12,Franklin County,12037
238.0,Florida,12,Gilchrist County,12041
,Florida,12,Glades County,12043
7.0,Florida,12,Gulf County,12045
86.0,Florida,12,Hendry County,12051
1447.0,Florida,12,Hernando County,12053
351.0,Florida,12,Highlands County,12055
604.0,Florida,12,Hillsborough County,12057
31.0,Florida,12,Holmes County,12059
24.0,Florida,12,Indian River County,12061
50.0,Florida,12,Jefferson County,12065
12.0,Florida,12,Lafayette County,12067
204.0,Florida,12,Lake County,12069
,Florida,12,Lee County,12071
416.0,Florida,12,Leon County,12073
62.0,Florida,12,Levy County,12075
,Florida,12,Liberty County,12077
27.0,Florida,12,Manatee County,12081
781.0,Florida,12,Marion County,12083
2.0,Florida,12,Martin County,12085
7.0,Florida,12,Miami0Dade County,12086
112.0,Florida,12,Monroe County,12087
33.0,Florida,12,Nassau County,12089
5.0,Florida,12,Okaloosa County,12091
,Florida,12,Okeechobee County,12093
980.0,Florida,12,Orange County,12095
424.0,Florida,12,Osceola County,12097
43.0,Florida,12,Palm Beach County,12099
1509.0,Florida,12,Pasco County,12101
156.0,Florida,12,Pinellas County,12103
104.0,Florida,12,Putnam County,12107
38.0,Florida,12,St. Johns County,12109
15.0,Florida,12,St. Lucie County,12111
80.0,Florida,12,Santa Rosa County,12113
96.0,Florida,12,Sarasota County,12115
117.0,Florida,12,Seminole County,12117
136.0,Florida,12,Taylor County,12123
165.0,Florida,12,Volusia County,12127
33.0,Florida,12,Wakulla County,12129
3908.0,Florida,12,Walton County,12131
124.0,Florida,12,Washington County,12133
64.0,Georgia,13,Brantley County,13025
181.0,Georgia,13,Bryan County,13029
53.0,Georgia,13,Camden County,13039
98.0,Georgia,13,Charlton County,13049
27.0,Georgia,13,Chatham County,13051
