BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
213749.0,California,6,Alameda County,6001
3.0,California,6,Colusa County,6011
56053.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
1512.0,California,6,Humboldt County,6023
49167.0,California,6,Los Angeles County,6037
37893.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
6071.0,California,6,Monterey County,6053
8315.0,California,6,Napa County,6055
63017.0,California,6,Orange County,6059
38485.0,California,6,Sacramento County,6067
36105.0,California,6,San Diego County,6073
36253.0,California,6,San Francisco County,6075
192033.0,California,6,San Joaquin County,6077
2020.0,California,6,San Luis Obispo County,6079
127133.0,California,6,San Mateo County,6081
8114.0,California,6,Santa Barbara County,6083
58821.0,California,6,Santa Clara County,6085
11375.0,California,6,Santa Cruz County,6087
18484.0,California,6,Solano County,6095
11593.0,California,6,Sonoma County,6097
7.0,California,6,Stanislaus County,6099
142.0,California,6,Sutter County,6101
17284.0,California,6,Ventura County,6111
29036.0,California,6,Yolo County,6113
300.0,Oregon,41,Clackamas County,41005
19695.0,Oregon,41,Clatsop County,41007
5854.0,Oregon,41,Columbia County,41009
5839.0,Oregon,41,Coos County,41011
1217.0,Oregon,41,Curry County,41015
1733.0,Oregon,41,Douglas County,41019
1464.0,Oregon,41,Lane County,41039
9280.0,Oregon,41,Lincoln County,41041
10514.0,Oregon,41,Multnomah County,41051
20640.0,Oregon,41,Tillamook County,41057
5201.0,Washington,53,Clallam County,53009
1815.0,Washington,53,Clark County,53011
36733.0,Washington,53,Cowlitz County,53015
33753.0,Washington,53,Grays Harbor County,53027
6818.0,Washington,53,Island County,53029
1929.0,Washington,53,Jefferson County,53031
23680.0,Washington,53,King County,53033
20192.0,Washington,53,Kitsap County,53035
3922.0,Washington,53,Mason County,53045
20843.0,Washington,53,Pacific County,53049
17491.0,Washington,53,Pierce County,53053
2091.0,Washington,53,San Juan County,53055
15454.0,Washington,53,Skagit County,53057
20.0,Washington,53,Skamania County,53059
4267.0,Washington,53,Snohomish County,53061
3060.0,Washington,53,Thurston County,53067
574.0,Washington,53,Wahkiakum County,53069
8641.0,Washington,53,Whatcom County,53073
40118.0,Alabama,1,Baldwin County,1003
5.0,Alabama,1,Clarke County,1025
40369.0,Alabama,1,Mobile County,1097
127.0,Alabama,1,Monroe County,1099
73.0,Alabama,1,Washington County,1129
83620.0,Florida,12,Bay County,12005
274781.0,Florida,12,Brevard County,12009
869699.0,Florida,12,Broward County,12011
164.0,Florida,12,Calhoun County,12013
308734.0,Florida,12,Charlotte County,12015
37778.0,Florida,12,Citrus County,12017
51417.0,Florida,12,Clay County,12019
396785.0,Florida,12,Collier County,12021
5200.0,Florida,12,DeSoto County,12027
18467.0,Florida,12,Dixie County,12029
344489.0,Florida,12,Duval County,12031
45315.0,Florida,12,Escambia County,12033
54434.0,Florida,12,Flagler County,12035
9239.0,Florida,12,Franklin County,12037
2368.0,Florida,12,Gilchrist County,12041
1750.0,Florida,12,Glades County,12043
7207.0,Florida,12,Gulf County,12045
44422.0,Florida,12,Hendry County,12051
13343.0,Florida,12,Hernando County,12053
108.0,Florida,12,Highlands County,12055
184619.0,Florida,12,Hillsborough County,12057
,Florida,12,Holmes County,12059
97632.0,Florida,12,Indian River County,12061
87.0,Florida,12,Jefferson County,12065
,Florida,12,Lafayette County,12067
2577.0,Florida,12,Lake County,12069
19294.0,Florida,12,Lee County,12071
2352.0,Florida,12,Leon County,12073
14698.0,Florida,12,Levy County,12075
31.0,Florida,12,Liberty County,12077
218119.0,Florida,12,Manatee County,12081
420.0,Florida,12,Marion County,12083
112550.0,Florida,12,Martin County,12085
354425.0,Florida,12,Miami0Dade County,12086
32420.0,Florida,12,Monroe County,12087
55736.0,Florida,12,Nassau County,12089
4873.0,Florida,12,Okaloosa County,12091
790.0,Florida,12,Okeechobee County,12093
206.0,Florida,12,Orange County,12095
30.0,Florida,12,Osceola County,12097
788245.0,Florida,12,Palm Beach County,12099
98521.0,Florida,12,Pasco County,12101
458013.0,Florida,12,Pinellas County,12103
14452.0,Florida,12,Putnam County,12107
144729.0,Florida,12,St. Johns County,12109
217003.0,Florida,12,St. Lucie County,12111
37632.0,Florida,12,Santa Rosa County,12113
295044.0,Florida,12,Sarasota County,12115
16066.0,Florida,12,Seminole County,12117
5756.0,Florida,12,Taylor County,12123
232749.0,Florida,12,Volusia County,12127
14686.0,Florida,12,Wakulla County,12129
26658.0,Florida,12,Walton County,12131
503.0,Florida,12,Washington County,12133
257.0,Georgia,13,Brantley County,13025
18932.0,Georgia,13,Bryan County,13029
33770.0,Georgia,13,Camden County,13039
82.0,Georgia,13,Charlton County,13049
65700.0,Georgia,13,Chatham County,13051
1245.0,Georgia,13,Effingham County,13103
48828.0,Georgia,13,Glynn County,13127
11569.0,Georgia,13,Liberty County,13179
,Georgia,13,Long County,13183
6586.0,Georgia,13,McIntosh County,13191
127.0,Georgia,13,Wayne County,13305
64.0,Mississippi,28,George County,28039
22202.0,Mississippi,28,Hancock County,28045
48138.0,Mississippi,28,Harrison County,28047
63344.0,Mississippi,28,Jackson County,28059
11.0,Mississippi,28,Pearl River County,28109
28377.0,North Carolina,37,Beaufort County,37013
693.0,North Carolina,37,Bertie County,37015
584.0,North Carolina,37,Bladen County,37017
65003.0,North Carolina,37,Brunswick County,37019
8268.0,North Carolina,37,Camden County,37029
77832.0,North Carolina,37,Carteret County,37031
21198.0,North Carolina,37,Chowan County,37041
