VL_LECZinSum,County,State,CountyStat,FIPS_5digi
659.0,California,6,Alameda County,6001
61.0,California,6,Colusa County,6011
509.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
38.0,California,6,Humboldt County,6023
994.0,California,6,Los Angeles County,6037
288.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
85.0,California,6,Monterey County,6053
920.0,California,6,Napa County,6055
106.0,California,6,Orange County,6059
33.0,California,6,Sacramento County,6067
342.0,California,6,San Diego County,6073
211.0,California,6,San Francisco County,6075
119.0,California,6,San Joaquin County,6077
862.0,California,6,San Luis Obispo County,6079
368.0,California,6,San Mateo County,6081
225.0,California,6,Santa Barbara County,6083
1121.0,California,6,Santa Clara County,6085
1813.0,California,6,Santa Cruz County,6087
137.0,California,6,Solano County,6095
877.0,California,6,Sonoma County,6097
320.0,California,6,Stanislaus County,6099
17.0,California,6,Sutter County,6101
33.0,California,6,Ventura County,6111
81.0,California,6,Yolo County,6113
1840.0,Oregon,41,Clackamas County,41005
102.0,Oregon,41,Clatsop County,41007
1271.0,Oregon,41,Columbia County,41009
471.0,Oregon,41,Coos County,41011
381.0,Oregon,41,Curry County,41015
944.0,Oregon,41,Douglas County,41019
853.0,Oregon,41,Lane County,41039
464.0,Oregon,41,Lincoln County,41041
4324.0,Oregon,41,Multnomah County,41051
1094.0,Oregon,41,Tillamook County,41057
3352.0,Washington,53,Clallam County,53009
4115.0,Washington,53,Clark County,53011
265.0,Washington,53,Cowlitz County,53015
723.0,Washington,53,Grays Harbor County,53027
1175.0,Washington,53,Island County,53029
410.0,Washington,53,Jefferson County,53031
2150.0,Washington,53,King County,53033
1648.0,Washington,53,Kitsap County,53035
636.0,Washington,53,Mason County,53045
74.0,Washington,53,Pacific County,53049
4460.0,Washington,53,Pierce County,53053
456.0,Washington,53,San Juan County,53055
1160.0,Washington,53,Skagit County,53057
129.0,Washington,53,Skamania County,53059
895.0,Washington,53,Snohomish County,53061
1620.0,Washington,53,Thurston County,53067
11.0,Washington,53,Wahkiakum County,53069
1141.0,Washington,53,Whatcom County,53073
2536.0,Alabama,1,Baldwin County,1003
577.0,Alabama,1,Clarke County,1025
2019.0,Alabama,1,Mobile County,1097
556.0,Alabama,1,Monroe County,1099
149.0,Alabama,1,Washington County,1129
186.0,Florida,12,Bay County,12005
65.0,Florida,12,Brevard County,12009
12.0,Florida,12,Broward County,12011
62.0,Florida,12,Calhoun County,12013
,Florida,12,Charlotte County,12015
282.0,Florida,12,Citrus County,12017
662.0,Florida,12,Clay County,12019
57.0,Florida,12,Collier County,12021
64.0,Florida,12,DeSoto County,12027
38.0,Florida,12,Dixie County,12029
235.0,Florida,12,Duval County,12031
887.0,Florida,12,Escambia County,12033
10.0,Florida,12,Flagler County,12035
14.0,Florida,12,Franklin County,12037
306.0,Florida,12,Gilchrist County,12041
,Florida,12,Glades County,12043
8.0,Florida,12,Gulf County,12045
168.0,Florida,12,Hendry County,12051
2203.0,Florida,12,Hernando County,12053
496.0,Florida,12,Highlands County,12055
2566.0,Florida,12,Hillsborough County,12057
48.0,Florida,12,Holmes County,12059
32.0,Florida,12,Indian River County,12061
104.0,Florida,12,Jefferson County,12065
20.0,Florida,12,Lafayette County,12067
320.0,Florida,12,Lake County,12069
9.0,Florida,12,Lee County,12071
537.0,Florida,12,Leon County,12073
142.0,Florida,12,Levy County,12075
,Florida,12,Liberty County,12077
304.0,Florida,12,Manatee County,12081
1818.0,Florida,12,Marion County,12083
2.0,Florida,12,Martin County,12085
7.0,Florida,12,Miami0Dade County,12086
177.0,Florida,12,Monroe County,12087
70.0,Florida,12,Nassau County,12089
120.0,Florida,12,Okaloosa County,12091
,Florida,12,Okeechobee County,12093
1435.0,Florida,12,Orange County,12095
574.0,Florida,12,Osceola County,12097
52.0,Florida,12,Palm Beach County,12099
2279.0,Florida,12,Pasco County,12101
273.0,Florida,12,Pinellas County,12103
148.0,Florida,12,Putnam County,12107
188.0,Florida,12,St. Johns County,12109
54.0,Florida,12,St. Lucie County,12111
251.0,Florida,12,Santa Rosa County,12113
196.0,Florida,12,Sarasota County,12115
139.0,Florida,12,Seminole County,12117
196.0,Florida,12,Taylor County,12123
265.0,Florida,12,Volusia County,12127
109.0,Florida,12,Wakulla County,12129
5610.0,Florida,12,Walton County,12131
209.0,Florida,12,Washington County,12133
125.0,Georgia,13,Brantley County,13025
330.0,Georgia,13,Bryan County,13029
75.0,Georgia,13,Camden County,13039
170.0,Georgia,13,Charlton County,13049
81.0,Georgia,13,Chatham County,13051
349.0,Georgia,13,Effingham County,13103
19.0,Georgia,13,Glynn County,13127
382.0,Georgia,13,Liberty County,13179
,Georgia,13,Long County,13183
6.0,Georgia,13,McIntosh County,13191
432.0,Georgia,13,Wayne County,13305
20.0,Mississippi,28,George County,28039
91.0,Mississippi,28,Hancock County,28045
441.0,Mississippi,28,Harrison County,28047
114.0,Mississippi,28,Jackson County,28059
784.0,Mississippi,28,Pearl River County,28109
178.0,North Carolina,37,Beaufort County,37013
71.0,North Carolina,37,Bertie County,37015
169.0,North Carolina,37,Bladen County,37017
187.0,North Carolina,37,Brunswick County,37019
,North Carolina,37,Camden County,37029
1.0,North Carolina,37,Carteret County,37031
52.0,North Carolina,37,Chowan County,37041
1250.0,North Carolina,37,Columbus County,37047
87.0,North Carolina,37,Craven County,37049
,North Carolina,37,Currituck County,37053
6.0,North Carolina,37,Dare County,37055
330.0,North Carolina,37,Duplin County,37061
319.0,North Carolina,37,Edgecombe County,37065
134.0,North Carolina,37,Gates County,37073
106.0,North Carolina,37,Greene County,37079
1455.0,North Carolina,37,Halifax County,37083
32.0,North Carolina,37,Hertford County,37091
,North Carolina,37,Hyde County,37095
61.0,North Carolina,37,Jones County,37103
315.0,North Carolina,37,Lenoir County,37107
,North Carolina,37,Martin County,37117
271.0,North Carolina,37,New Hanover County,37129
168.0,North Carolina,37,Northampton County,37131
160.0,North Carolina,37,Onslow County,37133
45.0,North Carolina,37,Pamlico County,37137
1.0,North Carolina,37,Pasquotank County,37139
144.0,North Carolina,37,Pender County,37141
6.0,North Carolina,37,Perquimans County,37143
78.0,North Carolina,37,Pitt County,37147
505.0,North Carolina,37,Sampson County,37163
,North Carolina,37,Tyrrell County,37177
11.0,North Carolina,37,Washington County,37187
110.0,South Carolina,45,Beaufort County,45013
817.0,South Carolina,45,Berkeley County,45015
162.0,South Carolina,45,Charleston County,45019
1088.0,South Carolina,45,Colleton County,45029
779.0,South Carolina,45,Dorchester County,45035
448.0,South Carolina,45,Florence County,45041
45.0,South Carolina,45,Georgetown County,45043
62.0,South Carolina,45,Hampton County,45049
2267.0,South Carolina,45,Horry County,45051
43.0,South Carolina,45,Jasper County,45053
149.0,South Carolina,45,Marion County,45067
843.0,South Carolina,45,Williamsburg County,45089
526.0,Connecticut,9,Fairfield County,9001
1164.0,Connecticut,9,Hartford County,9003
388.0,Connecticut,9,Middlesex County,9007
1329.0,Connecticut,9,New Haven County,9009
135.0,Connecticut,9,New London County,9011
107.0,Delaware,10,Kent County,10001
200.0,Delaware,10,New Castle County,10003
176.0,Delaware,10,Sussex County,10005
199.0,District Of Columbia,11,District Of Columbia,11001
568.0,Maine,23,Cumberland County,23005
258.0,Maine,23,Hancock County,23009
520.0,Maine,23,Kennebec County,23011
375.0,Maine,23,Knox County,23013
60.0,Maine,23,Lincoln County,23015
150.0,Maine,23,Penobscot County,23019
87.0,Maine,23,Sagadahoc County,23023
15.0,Maine,23,Waldo County,23027
15.0,Maine,23,Washington County,23029
594.0,Maine,23,York County,23031
332.0,Maryland,24,Anne Arundel County,24003
465.0,Maryland,24,Baltimore County,24005
