VL_LECZinSum,County,State,CountyStat,FIPS_5digi
143.0,California,6,Alameda County,6001
,California,6,Colusa County,6011
100.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
6.0,California,6,Humboldt County,6023
20.0,California,6,Los Angeles County,6037
52.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
5.0,California,6,Monterey County,6053
22.0,California,6,Napa County,6055
,California,6,Orange County,6059
4.0,California,6,Sacramento County,6067
11.0,California,6,San Diego County,6073
45.0,California,6,San Francisco County,6075
108.0,California,6,San Joaquin County,6077
4.0,California,6,San Luis Obispo County,6079
39.0,California,6,San Mateo County,6081
10.0,California,6,Santa Barbara County,6083
55.0,California,6,Santa Clara County,6085
28.0,California,6,Santa Cruz County,6087
31.0,California,6,Solano County,6095
17.0,California,6,Sonoma County,6097
,California,6,Stanislaus County,6099
,California,6,Sutter County,6101
,California,6,Ventura County,6111
25.0,California,6,Yolo County,6113
1.0,Oregon,41,Clackamas County,41005
58.0,Oregon,41,Clatsop County,41007
6.0,Oregon,41,Columbia County,41009
55.0,Oregon,41,Coos County,41011
31.0,Oregon,41,Curry County,41015
7.0,Oregon,41,Douglas County,41019
6.0,Oregon,41,Lane County,41039
52.0,Oregon,41,Lincoln County,41041
395.0,Oregon,41,Multnomah County,41051
380.0,Oregon,41,Tillamook County,41057
87.0,Washington,53,Clallam County,53009
73.0,Washington,53,Clark County,53011
52.0,Washington,53,Cowlitz County,53015
144.0,Washington,53,Grays Harbor County,53027
108.0,Washington,53,Island County,53029
5.0,Washington,53,Jefferson County,53031
38.0,Washington,53,King County,53033
28.0,Washington,53,Kitsap County,53035
34.0,Washington,53,Mason County,53045
57.0,Washington,53,Pacific County,53049
121.0,Washington,53,Pierce County,53053
23.0,Washington,53,San Juan County,53055
163.0,Washington,53,Skagit County,53057
,Washington,53,Skamania County,53059
157.0,Washington,53,Snohomish County,53061
24.0,Washington,53,Thurston County,53067
37.0,Washington,53,Wahkiakum County,53069
27.0,Washington,53,Whatcom County,53073
115.0,Alabama,1,Baldwin County,1003
1.0,Alabama,1,Clarke County,1025
251.0,Alabama,1,Mobile County,1097
1.0,Alabama,1,Monroe County,1099
,Alabama,1,Washington County,1129
97.0,Florida,12,Bay County,12005
60.0,Florida,12,Brevard County,12009
