VL_LECZinSum,County,State,CountyStat,FIPS_5digi
594.0,California,6,Alameda County,6001
43.0,California,6,Colusa County,6011
461.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
21.0,California,6,Humboldt County,6023
565.0,California,6,Los Angeles County,6037
277.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
65.0,California,6,Monterey County,6053
868.0,California,6,Napa County,6055
,California,6,Orange County,6059
15.0,California,6,Sacramento County,6067
297.0,California,6,San Diego County,6073
189.0,California,6,San Francisco County,6075
95.0,California,6,San Joaquin County,6077
695.0,California,6,San Luis Obispo County,6079
337.0,California,6,San Mateo County,6081
174.0,California,6,Santa Barbara County,6083
1046.0,California,6,Santa Clara County,6085
1627.0,California,6,Santa Cruz County,6087
88.0,California,6,Solano County,6095
751.0,California,6,Sonoma County,6097
276.0,California,6,Stanislaus County,6099
12.0,California,6,Sutter County,6101
10.0,California,6,Ventura County,6111
35.0,California,6,Yolo County,6113
1055.0,Oregon,41,Clackamas County,41005
76.0,Oregon,41,Clatsop County,41007
927.0,Oregon,41,Columbia County,41009
406.0,Oregon,41,Coos County,41011
308.0,Oregon,41,Curry County,41015
709.0,Oregon,41,Douglas County,41019
335.0,Oregon,41,Lane County,41039
250.0,Oregon,41,Lincoln County,41041
3204.0,Oregon,41,Multnomah County,41051
782.0,Oregon,41,Tillamook County,41057
2483.0,Washington,53,Clallam County,53009
2709.0,Washington,53,Clark County,53011
182.0,Washington,53,Cowlitz County,53015
601.0,Washington,53,Grays Harbor County,53027
962.0,Washington,53,Island County,53029
310.0,Washington,53,Jefferson County,53031
1318.0,Washington,53,King County,53033
748.0,Washington,53,Kitsap County,53035
511.0,Washington,53,Mason County,53045
64.0,Washington,53,Pacific County,53049
1786.0,Washington,53,Pierce County,53053
367.0,Washington,53,San Juan County,53055
981.0,Washington,53,Skagit County,53057
48.0,Washington,53,Skamania County,53059
777.0,Washington,53,Snohomish County,53061
1404.0,Washington,53,Thurston County,53067
3.0,Washington,53,Wahkiakum County,53069
731.0,Washington,53,Whatcom County,53073
802.0,Alabama,1,Baldwin County,1003
512.0,Alabama,1,Clarke County,1025
1559.0,Alabama,1,Mobile County,1097
364.0,Alabama,1,Monroe County,1099
109.0,Alabama,1,Washington County,1129
147.0,Florida,12,Bay County,12005
54.0,Florida,12,Brevard County,12009
12.0,Florida,12,Broward County,12011
52.0,Florida,12,Calhoun County,12013
,Florida,12,Charlotte County,12015
204.0,Florida,12,Citrus County,12017
199.0,Florida,12,Clay County,12019
55.0,Florida,12,Collier County,12021
54.0,Florida,12,DeSoto County,12027
30.0,Florida,12,Dixie County,12029
202.0,Florida,12,Duval County,12031
293.0,Florida,12,Escambia County,12033
5.0,Florida,12,Flagler County,12035
2.0,Florida,12,Franklin County,12037
284.0,Florida,12,Gilchrist County,12041
,Florida,12,Glades County,12043
7.0,Florida,12,Gulf County,12045
114.0,Florida,12,Hendry County,12051
1751.0,Florida,12,Hernando County,12053
403.0,Florida,12,Highlands County,12055
796.0,Florida,12,Hillsborough County,12057
41.0,Florida,12,Holmes County,12059
29.0,Florida,12,Indian River County,12061
79.0,Florida,12,Jefferson County,12065
18.0,Florida,12,Lafayette County,12067
269.0,Florida,12,Lake County,12069
,Florida,12,Lee County,12071
487.0,Florida,12,Leon County,12073
104.0,Florida,12,Levy County,12075
,Florida,12,Liberty County,12077
29.0,Florida,12,Manatee County,12081
1396.0,Florida,12,Marion County,12083
2.0,Florida,12,Martin County,12085
7.0,Florida,12,Miami0Dade County,12086
131.0,Florida,12,Monroe County,12087
45.0,Florida,12,Nassau County,12089
5.0,Florida,12,Okaloosa County,12091
,Florida,12,Okeechobee County,12093
1162.0,Florida,12,Orange County,12095
455.0,Florida,12,Osceola County,12097
47.0,Florida,12,Palm Beach County,12099
1770.0,Florida,12,Pasco County,12101
180.0,Florida,12,Pinellas County,12103
128.0,Florida,12,Putnam County,12107
54.0,Florida,12,St. Johns County,12109
17.0,Florida,12,St. Lucie County,12111
133.0,Florida,12,Santa Rosa County,12113
142.0,Florida,12,Sarasota County,12115
126.0,Florida,12,Seminole County,12117
174.0,Florida,12,Taylor County,12123
212.0,Florida,12,Volusia County,12127
53.0,Florida,12,Wakulla County,12129
4726.0,Florida,12,Walton County,12131
