BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
194132.0,California,6,Alameda County,6001
3.0,California,6,Colusa County,6011
46866.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
1422.0,California,6,Humboldt County,6023
45317.0,California,6,Los Angeles County,6037
35816.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
5685.0,California,6,Monterey County,6053
6708.0,California,6,Napa County,6055
59584.0,California,6,Orange County,6059
27219.0,California,6,Sacramento County,6067
29479.0,California,6,San Diego County,6073
20737.0,California,6,San Francisco County,6075
157879.0,California,6,San Joaquin County,6077
1697.0,California,6,San Luis Obispo County,6079
118451.0,California,6,San Mateo County,6081
6769.0,California,6,Santa Barbara County,6083
47784.0,California,6,Santa Clara County,6085
9514.0,California,6,Santa Cruz County,6087
15677.0,California,6,Solano County,6095
10183.0,California,6,Sonoma County,6097
4.0,California,6,Stanislaus County,6099
127.0,California,6,Sutter County,6101
15371.0,California,6,Ventura County,6111
19492.0,California,6,Yolo County,6113
266.0,Oregon,41,Clackamas County,41005
16660.0,Oregon,41,Clatsop County,41007
4715.0,Oregon,41,Columbia County,41009
5361.0,Oregon,41,Coos County,41011
869.0,Oregon,41,Curry County,41015
1606.0,Oregon,41,Douglas County,41019
1213.0,Oregon,41,Lane County,41039
7968.0,Oregon,41,Lincoln County,41041
8633.0,Oregon,41,Multnomah County,41051
16680.0,Oregon,41,Tillamook County,41057
4495.0,Washington,53,Clallam County,53009
1478.0,Washington,53,Clark County,53011
33851.0,Washington,53,Cowlitz County,53015
27877.0,Washington,53,Grays Harbor County,53027
5867.0,Washington,53,Island County,53029
1524.0,Washington,53,Jefferson County,53031
19588.0,Washington,53,King County,53033
17784.0,Washington,53,Kitsap County,53035
3310.0,Washington,53,Mason County,53045
17683.0,Washington,53,Pacific County,53049
10650.0,Washington,53,Pierce County,53053
1728.0,Washington,53,San Juan County,53055
13618.0,Washington,53,Skagit County,53057
20.0,Washington,53,Skamania County,53059
3383.0,Washington,53,Snohomish County,53061
2734.0,Washington,53,Thurston County,53067
476.0,Washington,53,Wahkiakum County,53069
6505.0,Washington,53,Whatcom County,53073
29501.0,Alabama,1,Baldwin County,1003
5.0,Alabama,1,Clarke County,1025
34784.0,Alabama,1,Mobile County,1097
95.0,Alabama,1,Monroe County,1099
67.0,Alabama,1,Washington County,1129
64927.0,Florida,12,Bay County,12005
213642.0,Florida,12,Brevard County,12009
799713.0,Florida,12,Broward County,12011
158.0,Florida,12,Calhoun County,12013
239667.0,Florida,12,Charlotte County,12015
32433.0,Florida,12,Citrus County,12017
37534.0,Florida,12,Clay County,12019
283058.0,Florida,12,Collier County,12021
4056.0,Florida,12,DeSoto County,12027
15120.0,Florida,12,Dixie County,12029
272110.0,Florida,12,Duval County,12031
33510.0,Florida,12,Escambia County,12033
30114.0,Florida,12,Flagler County,12035
7015.0,Florida,12,Franklin County,12037
1915.0,Florida,12,Gilchrist County,12041
1331.0,Florida,12,Glades County,12043
5037.0,Florida,12,Gulf County,12045
35113.0,Florida,12,Hendry County,12051
11470.0,Florida,12,Hernando County,12053
52.0,Florida,12,Highlands County,12055
128203.0,Florida,12,Hillsborough County,12057
,Florida,12,Holmes County,12059
64354.0,Florida,12,Indian River County,12061
62.0,Florida,12,Jefferson County,12065
,Florida,12,Lafayette County,12067
2216.0,Florida,12,Lake County,12069
8961.0,Florida,12,Lee County,12071
2002.0,Florida,12,Leon County,12073
11830.0,Florida,12,Levy County,12075
31.0,Florida,12,Liberty County,12077
165173.0,Florida,12,Manatee County,12081
362.0,Florida,12,Marion County,12083
94206.0,Florida,12,Martin County,12085
313702.0,Florida,12,Miami0Dade County,12086
27588.0,Florida,12,Monroe County,12087
34280.0,Florida,12,Nassau County,12089
4179.0,Florida,12,Okaloosa County,12091
524.0,Florida,12,Okeechobee County,12093
168.0,Florida,12,Orange County,12095
30.0,Florida,12,Osceola County,12097
673788.0,Florida,12,Palm Beach County,12099
91886.0,Florida,12,Pasco County,12101
423942.0,Florida,12,Pinellas County,12103
12330.0,Florida,12,Putnam County,12107
77962.0,Florida,12,St. Johns County,12109
136830.0,Florida,12,St. Lucie County,12111
26292.0,Florida,12,Santa Rosa County,12113
219652.0,Florida,12,Sarasota County,12115
7245.0,Florida,12,Seminole County,12117
4591.0,Florida,12,Taylor County,12123
189656.0,Florida,12,Volusia County,12127
9827.0,Florida,12,Wakulla County,12129
14541.0,Florida,12,Walton County,12131
448.0,Florida,12,Washington County,12133
211.0,Georgia,13,Brantley County,13025
9839.0,Georgia,13,Bryan County,13029
24090.0,Georgia,13,Camden County,13039
35.0,Georgia,13,Charlton County,13049
54517.0,Georgia,13,Chatham County,13051
571.0,Georgia,13,Effingham County,13103
38084.0,Georgia,13,Glynn County,13127
7582.0,Georgia,13,Liberty County,13179
,Georgia,13,Long County,13183
4990.0,Georgia,13,McIntosh County,13191
101.0,Georgia,13,Wayne County,13305
55.0,Mississippi,28,George County,28039
12955.0,Mississippi,28,Hancock County,28045
36775.0,Mississippi,28,Harrison County,28047
54085.0,Mississippi,28,Jackson County,28059
10.0,Mississippi,28,Pearl River County,28109
24601.0,North Carolina,37,Beaufort County,37013
388.0,North Carolina,37,Bertie County,37015
504.0,North Carolina,37,Bladen County,37017
37608.0,North Carolina,37,Brunswick County,37019
5883.0,North Carolina,37,Camden County,37029
62061.0,North Carolina,37,Carteret County,37031
18053.0,North Carolina,37,Chowan County,37041
258.0,North Carolina,37,Columbus County,37047
93860.0,North Carolina,37,Craven County,37049
26275.0,North Carolina,37,Currituck County,37053
30548.0,North Carolina,37,Dare County,37055
121.0,North Carolina,37,Duplin County,37061
7.0,North Carolina,37,Edgecombe County,37065
3357.0,North Carolina,37,Gates County,37073
27.0,North Carolina,37,Greene County,37079
12.0,North Carolina,37,Halifax County,37083
130.0,North Carolina,37,Hertford County,37091
7579.0,North Carolina,37,Hyde County,37095
2219.0,North Carolina,37,Jones County,37103
652.0,North Carolina,37,Lenoir County,37107
,North Carolina,37,Martin County,37117
75410.0,North Carolina,37,New Hanover County,37129
19.0,North Carolina,37,Northampton County,37131
31212.0,North Carolina,37,Onslow County,37133
8130.0,North Carolina,37,Pamlico County,37137
18121.0,North Carolina,37,Pasquotank County,37139
8263.0,North Carolina,37,Pender County,37141
9395.0,North Carolina,37,Perquimans County,37143
6276.0,North Carolina,37,Pitt County,37147
47.0,North Carolina,37,Sampson County,37163
3467.0,North Carolina,37,Tyrrell County,37177
8228.0,North Carolina,37,Washington County,37187
44933.0,South Carolina,45,Beaufort County,45013
9412.0,South Carolina,45,Berkeley County,45015
200598.0,South Carolina,45,Charleston County,45019
6537.0,South Carolina,45,Colleton County,45029
9077.0,South Carolina,45,Dorchester County,45035
41.0,South Carolina,45,Florence County,45041
31716.0,South Carolina,45,Georgetown County,45043
118.0,South Carolina,45,Hampton County,45049
176936.0,South Carolina,45,Horry County,45051
2052.0,South Carolina,45,Jasper County,45053
79.0,South Carolina,45,Marion County,45067
770.0,South Carolina,45,Williamsburg County,45089
30013.0,Connecticut,9,Fairfield County,9001
3529.0,Connecticut,9,Hartford County,9003
17804.0,Connecticut,9,Middlesex County,9007
57837.0,Connecticut,9,New Haven County,9009
10368.0,Connecticut,9,New London County,9011
15150.0,Delaware,10,Kent County,10001
17031.0,Delaware,10,New Castle County,10003
60110.0,Delaware,10,Sussex County,10005
5766.0,District Of Columbia,11,District Of Columbia,11001
17552.0,Maine,23,Cumberland County,23005
1450.0,Maine,23,Hancock County,23009
451.0,Maine,23,Kennebec County,23011
2080.0,Maine,23,Knox County,23013
1912.0,Maine,23,Lincoln County,23015
1019.0,Maine,23,Penobscot County,23019
2264.0,Maine,23,Sagadahoc County,23023
249.0,Maine,23,Waldo County,23027
1424.0,Maine,23,Washington County,23029
21620.0,Maine,23,York County,23031
81712.0,Maryland,24,Anne Arundel County,24003
56086.0,Maryland,24,Baltimore County,24005
9227.0,Maryland,24,Calvert County,24009
3568.0,Maryland,24,Caroline County,24011
7993.0,Maryland,24,Cecil County,24015
4367.0,Maryland,24,Charles County,24017
19789.0,Maryland,24,Dorchester County,24019
8027.0,Maryland,24,Harford County,24025
22.0,Maryland,24,Howard County,24027
6040.0,Maryland,24,Kent County,24029
,Maryland,24,Montgomery County,24031
5511.0,Maryland,24,Prince George's County,24033
20988.0,Maryland,24,Queen Anne's County,24035
11628.0,Maryland,24,St. Mary's County,24037
32259.0,Maryland,24,Somerset County,24039
14632.0,Maryland,24,Talbot County,24041
14612.0,Maryland,24,Wicomico County,24045
54378.0,Maryland,24,Worcester County,24047
11646.0,Maryland,24,Baltimore City,24510
121048.0,Massachusetts,25,Barnstable County,25001
52798.0,Massachusetts,25,Bristol County,25005
29611.0,Massachusetts,25,Dukes County,25007
48431.0,Massachusetts,25,Essex County,25009
,Massachusetts,25,Hampden County,25013
58556.0,Massachusetts,25,Middlesex County,25017
8973.0,Massachusetts,25,Nantucket County,25019
26535.0,Massachusetts,25,Norfolk County,25021
49206.0,Massachusetts,25,Plymouth County,25023
78506.0,Massachusetts,25,Suffolk County,25025
22229.0,New Hampshire,33,Rockingham County,33015
1107.0,New Hampshire,33,Strafford County,33017
51394.0,New Jersey,34,Atlantic County,34001
79956.0,New Jersey,34,Bergen County,34003
40115.0,New Jersey,34,Burlington County,34005
46759.0,New Jersey,34,Camden County,34007
127929.0,New Jersey,34,Cape May County,34009
13616.0,New Jersey,34,Cumberland County,34011
10206.0,New Jersey,34,Essex County,34013
25525.0,New Jersey,34,Gloucester County,34015
21251.0,New Jersey,34,Hudson County,34017
1604.0,New Jersey,34,Mercer County,34021
17820.0,New Jersey,34,Middlesex County,34023
106815.0,New Jersey,34,Monmouth County,34025
97163.0,New Jersey,34,Ocean County,34029
1221.0,New Jersey,34,Passaic County,34031
26050.0,New Jersey,34,Salem County,34033
27.0,New Jersey,34,Somerset County,34035
50730.0,New Jersey,34,Union County,34039
1688.0,New York,36,Albany County,36001
35173.0,New York,36,Bronx County,36005
336.0,New York,36,Columbia County,36021
