BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
6977.0,North Carolina,37,Pitt County,37147
54.0,North Carolina,37,Sampson County,37163
3867.0,North Carolina,37,Tyrrell County,37177
8698.0,North Carolina,37,Washington County,37187
58798.0,South Carolina,45,Beaufort County,45013
22562.0,South Carolina,45,Berkeley County,45015
240993.0,South Carolina,45,Charleston County,45019
7441.0,South Carolina,45,Colleton County,45029
14803.0,South Carolina,45,Dorchester County,45035
45.0,South Carolina,45,Florence County,45041
45157.0,South Carolina,45,Georgetown County,45043
141.0,South Carolina,45,Hampton County,45049
251340.0,South Carolina,45,Horry County,45051
2354.0,South Carolina,45,Jasper County,45053
86.0,South Carolina,45,Marion County,45067
820.0,South Carolina,45,Williamsburg County,45089
31879.0,Connecticut,9,Fairfield County,9001
3714.0,Connecticut,9,Hartford County,9003
18941.0,Connecticut,9,Middlesex County,9007
59505.0,Connecticut,9,New Haven County,9009
10946.0,Connecticut,9,New London County,9011
20185.0,Delaware,10,Kent County,10001
18460.0,Delaware,10,New Castle County,10003
93050.0,Delaware,10,Sussex County,10005
6415.0,District Of Columbia,11,District Of Columbia,11001
19199.0,Maine,23,Cumberland County,23005
1614.0,Maine,23,Hancock County,23009
471.0,Maine,23,Kennebec County,23011
2314.0,Maine,23,Knox County,23013
2128.0,Maine,23,Lincoln County,23015
1044.0,Maine,23,Penobscot County,23019
2470.0,Maine,23,Sagadahoc County,23023
275.0,Maine,23,Waldo County,23027
1559.0,Maine,23,Washington County,23029
24238.0,Maine,23,York County,23031
87376.0,Maryland,24,Anne Arundel County,24003
59463.0,Maryland,24,Baltimore County,24005
10322.0,Maryland,24,Calvert County,24009
3885.0,Maryland,24,Caroline County,24011
8822.0,Maryland,24,Cecil County,24015
4903.0,Maryland,24,Charles County,24017
22500.0,Maryland,24,Dorchester County,24019
8739.0,Maryland,24,Harford County,24025
22.0,Maryland,24,Howard County,24027
6920.0,Maryland,24,Kent County,24029
,Maryland,24,Montgomery County,24031
5727.0,Maryland,24,Prince George's County,24033
23164.0,Maryland,24,Queen Anne's County,24035
13258.0,Maryland,24,St. Mary's County,24037
36404.0,Maryland,24,Somerset County,24039
16727.0,Maryland,24,Talbot County,24041
16418.0,Maryland,24,Wicomico County,24045
65140.0,Maryland,24,Worcester County,24047
13737.0,Maryland,24,Baltimore City,24510
127987.0,Massachusetts,25,Barnstable County,25001
55355.0,Massachusetts,25,Bristol County,25005
32311.0,Massachusetts,25,Dukes County,25007
51620.0,Massachusetts,25,Essex County,25009
,Massachusetts,25,Hampden County,25013
61149.0,Massachusetts,25,Middlesex County,25017
9701.0,Massachusetts,25,Nantucket County,25019
27190.0,Massachusetts,25,Norfolk County,25021
52221.0,Massachusetts,25,Plymouth County,25023
84049.0,Massachusetts,25,Suffolk County,25025
24535.0,New Hampshire,33,Rockingham County,33015
1189.0,New Hampshire,33,Strafford County,33017
55260.0,New Jersey,34,Atlantic County,34001
82660.0,New Jersey,34,Bergen County,34003
42840.0,New Jersey,34,Burlington County,34005
48003.0,New Jersey,34,Camden County,34007
150726.0,New Jersey,34,Cape May County,34009
14478.0,New Jersey,34,Cumberland County,34011
11455.0,New Jersey,34,Essex County,34013
27278.0,New Jersey,34,Gloucester County,34015
27338.0,New Jersey,34,Hudson County,34017
1708.0,New Jersey,34,Mercer County,34021
18500.0,New Jersey,34,Middlesex County,34023
114455.0,New Jersey,34,Monmouth County,34025
103848.0,New Jersey,34,Ocean County,34029
1318.0,New Jersey,34,Passaic County,34031
27080.0,New Jersey,34,Salem County,34033
27.0,New Jersey,34,Somerset County,34035
54278.0,New Jersey,34,Union County,34039
1740.0,New York,36,Albany County,36001
39765.0,New York,36,Bronx County,36005
345.0,New York,36,Columbia County,36021
816.0,New York,36,Dutchess County,36027
545.0,New York,36,Greene County,36039
262736.0,New York,36,Kings County,36047
103470.0,New York,36,Nassau County,36059
40531.0,New York,36,New York County,36061
187.0,New York,36,Orange County,36071
662.0,New York,36,Putnam County,36079
187146.0,New York,36,Queens County,36081
4431.0,New York,36,Rensselaer County,36083
64020.0,New York,36,Richmond County,36085
1064.0,New York,36,Rockland County,36087
468.0,New York,36,Saratoga County,36091
103685.0,New York,36,Suffolk County,36103
756.0,New York,36,Ulster County,36111
4859.0,New York,36,Westchester County,36119
9351.0,Pennsylvania,42,Bucks County,42017
11644.0,Pennsylvania,42,Delaware County,42045
113738.0,Pennsylvania,42,Philadelphia County,42101
12215.0,Rhode Island,44,Bristol County,44001
11303.0,Rhode Island,44,Kent County,44003
16957.0,Rhode Island,44,Newport County,44005
11157.0,Rhode Island,44,Providence County,44007
24065.0,Rhode Island,44,Washington County,44009
4.0,Virginia,51,Accomack County,51001
1028.0,Virginia,51,Arlington County,51013
130.0,Virginia,51,Caroline County,51033
980.0,Virginia,51,Charles City County,51036
294.0,Virginia,51,Chesterfield County,51041
5347.0,Virginia,51,Essex County,51057
13384.0,Virginia,51,Fairfax County,51059
9107.0,Virginia,51,Gloucester County,51073
47.0,Virginia,51,Hanover County,51085
312.0,Virginia,51,Henrico County,51087
11065.0,Virginia,51,Isle of Wight County,51093
6790.0,Virginia,51,James City County,51095
1964.0,Virginia,51,King and Queen County,51097
2544.0,Virginia,51,King George County,51099
2665.0,Virginia,51,King William County,51101
4052.0,Virginia,51,Lancaster County,51103
4.0,Virginia,51,Mathews County,51115
3316.0,Virginia,51,Middlesex County,51119
1271.0,Virginia,51,New Kent County,51127
7067.0,Virginia,51,Northampton County,51131
1.0,Virginia,51,Northumberland County,51133
419.0,Virginia,51,Prince George County,51149
3792.0,Virginia,51,Prince William County,51153
844.0,Virginia,51,Richmond County,51159
1056.0,Virginia,51,Southampton County,51175
50.0,Virginia,51,Spotsylvania County,51177
1973.0,Virginia,51,Stafford County,51179
,Virginia,51,Surry County,51181
8359.0,Virginia,51,Westmoreland County,51193
17037.0,Virginia,51,York County,51199
7544.0,Virginia,51,Alexandria City,51510
159302.0,Virginia,51,Chesapeake City,51550
1.0,Virginia,51,Colonial Heights City,51570
449.0,Virginia,51,Franklin City,51620
36.0,Virginia,51,Fredericksburg City,51630
96077.0,Virginia,51,Hampton City,51650
295.0,Virginia,51,Hopewell City,51670
50191.0,Virginia,51,Newport News City,51700
123103.0,Virginia,51,Norfolk City,51710
270.0,Virginia,51,Petersburg City,51730
9179.0,Virginia,51,Poquoson City,51735
62634.0,Virginia,51,Portsmouth City,51740
718.0,Virginia,51,Richmond City,51760
28607.0,Virginia,51,Suffolk City,51800
266159.0,Virginia,51,Virginia Beach City,51810
89.0,Virginia,51,Williamsburg City,51830
1263.0,Louisiana,22,Acadia Parish,22001
,Louisiana,22,Allen Parish,22003
29.0,Louisiana,22,Ascension Parish,22005
12.0,Louisiana,22,Assumption Parish,22007
1.0,Louisiana,22,Beauregard Parish,22011
493.0,Louisiana,22,Calcasieu Parish,22019
6811.0,Louisiana,22,Cameron Parish,22023
11919.0,Louisiana,22,East Baton Rouge Parish,22033
8160.0,Louisiana,22,Iberia Parish,22045
35.0,Louisiana,22,Iberville Parish,22047
193.0,Louisiana,22,Jefferson Parish,22051
1.0,Louisiana,22,Jefferson Davis Parish,22053
23935.0,Louisiana,22,Lafayette Parish,22055
22198.0,Louisiana,22,Lafourche Parish,22057
27.0,Louisiana,22,Livingston Parish,22063
115273.0,Louisiana,22,Orleans Parish,22071
8056.0,Louisiana,22,Plaquemines Parish,22075
1.0,Louisiana,22,Pointe Coupee Parish,22077
5.0,Louisiana,22,St. Bernard Parish,22087
28369.0,Louisiana,22,St. Charles Parish,22089
10948.0,Louisiana,22,St. James Parish,22093
29.0,Louisiana,22,St. John the Baptist Parish,22095
2574.0,Louisiana,22,St. Landry Parish,22097
